## These are comments,,,,,,,,,,,,,,
# Expecting the following format for each row,,,,,,,,,,,,,,
# Player,character,alt,character,alt,character,alt,character,alt,character,alt,character,alt,,
Rogue,Incineroar,7,,,,,,,,,,,,
Rondor,Falco,7,,,,,,,,,,,,
Rottentomato,Pyra,8,,,,,,,,,,,,
Rozden,Ganon,1,,,,,,,,,,,,
Rozden,Ganon,1,Bowser,1,,,,,,,,,,
RP4,Link,3,,,,,,,,,,,,
Rucent,Sonic,7,,,,,,,,,,,,
RYAQN,Wolf,7,Joker,1,,,,,,,,,,
RyMax,Sonic,5,,,,,,,,,,,,
Saleem Shady,Pokemon Trainer,7,,,,,,,,,,,,
Salt King,Little Mac,6,,,,,,,,,,,,
Samhercules,CAPTAIN FALCON,7,,,,,,,,,,,,
Sans,Joker,1,Young Link,1,,,,,,,,,,
Sansko,Bowser,1,,,,,,,,,,,,
SassyFlygon,Luigi,1,,,,,,,,,,,,
Sato,Little Mac,6,,,,,,,,,,,,
Schady,CAPTAIN FALCON,5,Incineroar,3,,,,,,,,,,
Schigily,Bowser,5,,,,,,,,,,,,
SchmoveAlbebee,Link,8,,,,,,,,,,,,
Schnigily,Bowser,7,,,,,,,,,,,,
Seaweed,Bowser,1,,,,,,,,,,,,
Shaine,Incineroar,1,,,,,,,,,,,,
ShivaPuff,Jigglypuff,1,,,,,,,,,,,,
Shloozy,Kirby,1,,,,,,,,,,,,
Sho,Min Min,8,,,,,,,,,,,,
Sihq,Fox,1,,,,,,,,,,,,
Silver Jinx,Toon Link,7,,,,,,,,,,,,
Silver X,Zelda,1,,,,,,,,,,,,
SK,Dr Mario,7,Snake,4,,,,,,,,,,
Sky,Mewtwo,7,Game&Watch,4,,,,,,,,,,
Slattelatte,Bowser,7,,,,,,,,,,,,
Smashmouth,Donkey Kong,4,,,,,,,,,,,,
Smirkyvee,Falco,6,,,,,,,,,,,,
Sogoodpop,Wii Fit Trainer,8,,,,,,,,,,,,
Sol CPU,Bowser,1,,,,,,,,,,,,
Soopernoodle,Link,5,,,,,,,,,,,,
spoon,Palutena,5,Hero,4,,,,,,,,,,
Spot,Pac Man,6,,,,,,,,,,,,
SrJorjoroY,Snake,2,Mii Swordfighter,1,Mii Brawler,1,,,,,,,,
stonecoldfox,Fox,2,,,,,,,,,,,,
Struggler,Ike,8,,,,,,,,,,,,
SumbDumbCanadian,Joker,1,,,,,,,,,,,,
Summers,Mario,1,,,,,,,,,,,,
Syrup,Ness,5,,,,,,,,,,,,
Tacocat,Zelda,6,,,,,,,,,,,,
Takemi,Little Mac,6,,,,,,,,,,,,
Tato,Inkling,3,Ken,1,,,,,,,,,,
Telestrio,PKM Trainer,8,Steve,8,ROB,3,,,,,,,,
The 13th Ace,Ken,5,Terry,4,,,,,,,,,,
the boy,CAPTAIN FALCON,2,,,,,,,,,,,,
TheRed,Snake,1,,,,,,,,,,,,
TiBRs,Little Mac,6,Ken,8,Joker,2,,,,,,,,
Timb0,Game & Watch,4,,,,,,,,,,,,
Topaz,Kirby,6,,,,,,,,,,,,
ToPaz,Kirby,6,,,,,,,,,,,,
Tornado,King DDD,4,,,,,,,,,,,,
trash,KING K ROOL,4,,,,,,,,,,,,
Trash,K Rool,4,,,,,,,,,,,,
